Referência;Cor;TM;Qtdade;Valor;Total;Acrés.;Desc.;Líquido;Data
RIT2902.2-CALÇA AMARRAÇÃO RECONDUÇÃO REST0109.2;19-3864-Mazarine Blue TC;P;1;79,9;79,9;0;65,99;13,91;10/03/2026
RIT2902.2-CALÇA AMARRAÇÃO RECONDUÇÃO REST0109.2;19-3864-Mazarine Blue TC;M;1;79,9;79,9;0;65,99;13,91;10/03/2026
RIT2922.1-CAMISA RECONDUÇÃO REST0600.1;CI24C003-XADREZ RUPRE V3;M;1;79,9;79,9;0;34,88;45,02;10/03/2026
REST0317.1-TRENCH COAT (REST0317);17-1134-Brown Sugar TC;M;1;199,9;199,9;0;165,41;34,49;11/03/2026
REST0455.1-CAMISA MANGA LONGA COM FAIXA (REST0455);18-3922-Coronet Blue TC;M;1;129,9;129,9;0;52,87;77,03;11/03/2026
REST0745-1-BLUSA MANGA CURTA;17-1336-Bran TC;M;1;79,9;79,9;0;25,36;54,54;11/03/2026
REST0833-BLUSA DECOTE V COM AVIAMENTO;19-0000-Raven TC;M;1;79,9;79,9;0;32,42;47,48;11/03/2026
REST0858-CALÇA LEGGING;19-0000-Raven TC;PP;1;109,9;109,9;0;55;54,9;11/03/2026
REST0869-CALÇA RETA C/ PREGAS;19-0000-Raven TC;M;-1;0;-159,9;0;0;-159,9;11/03/2026
REST0877-VESTIDO CURTO COM RECORTES;19-0000-Raven TC;M;1;139,9;139,9;0;69,95;69,95;11/03/2026
REST0916-VESTIDO MANGA LONGA;19-0000-Raven TC;M;1;189,9;189,9;0;94,95;94,95;11/03/2026
REST0916-VESTIDO MANGA LONGA;19-0000-Raven TC;G;1;189,9;189,9;0;77,05;112,85;11/03/2026
REST0921.1-CAMISA ALONGADA DE MALHA;19-4118-Dark Denim TC;G;1;149,9;149,9;0;47,57;102,33;11/03/2026
REST0932.2-CALÇA PIJAMA COM ELASTICO;19-0000-Raven TC;P;1;165,9;165,9;0;53,8;112,1;11/03/2026
REST0989-CINTO MZD24327;17-1224-Camel TC;Padrão;1;39,9;39,9;0;0;39,9;11/03/2026
REST0991-CINTO MZD24325;18-1314-Acorn TC;Padrão;1;39,9;39,9;0;24,21;15,69;11/03/2026
REST0992-CINTO MZD24280;19-0000-Raven TC;Padrão;1;39,9;39,9;0;0;39,9;11/03/2026
REST0995.2-SAIA SLIP;19-1429-Smoked Paprika;G;1;109,9;109,9;0;44,73;65,17;11/03/2026
REST1013.2-COLETE COM BOTÕES RECONDUÇAO RRST0259;18-0832-Plantation TC;G;1;139,9;139,9;0;56,94;82,96;11/03/2026
REST1013.3-CALÇA RETA RECONDUÇAO REST0798.2;18-0832-Plantation TC;G;1;189,9;189,9;0;77,29;112,61;11/03/2026
REST1024.1-CAMISA ALONGADA COM FAIXA;16-1327-Toasted Nut TC;M;1;249,9;249,9;0;101,71;148,19;11/03/2026
REST1024.1-CAMISA ALONGADA COM FAIXA;19-0000-Raven TC;P;1;249,9;249,9;0;101,71;148,19;11/03/2026
REST1024.2-CALÇA WIDE COM BOLSO FACA;16-1327-Toasted Nut TC;G;1;179,9;179,9;0;73,22;106,68;11/03/2026
REST1035.1-JAQUETA BOLSOS;18-1048-Monk?s Robe TC;G;2;199,9;399,8;0;246,77;153,03;11/03/2026
REST1035.2-COLETE PEPLUN;18-1048-Monk?s Robe TC;G;2;169,9;339,8;0;281,18;58,62;11/03/2026
REST1035.2-COLETE PEPLUN;18-1048-Monk?s Robe TC;GG;1;169,9;169,9;0;140,59;29,31;11/03/2026
REST1035.3-CALÇA ALFAIATARIA;18-1048-Monk?s Robe TC;M;1;179,9;179,9;0;47,2;132,7;11/03/2026
REST1039.1-BLAZER C/ AMARRAÇÃO;18-0322-Cypress TC;G;1;195,9;195,9;0;144,7;51,2;11/03/2026
REST1044.1-BLUSA COM FAIXA;18-0430-Avocado TC;M;1;135,9;135,9;0;55,31;80,59;11/03/2026
REST1044.1-BLUSA COM FAIXA;19-1429-Smoked Paprika;M;1;135,9;135,9;0;55,31;80,59;11/03/2026
REST1044.2-CALÇA RETA;18-0430-Avocado TC;G;1;159,9;159,9;0;65,08;94,82;11/03/2026
REST1055-VESTIDO ALFAIATARIA;18-0332-Grasshopper TC;GG;1;309,9;309,9;0;228,91;80,99;11/03/2026
REST1058.1-BLUSA C/ ZÍPER;19-4118-Dark Denim TC;GG;1;155,9;155,9;0;49,47;106,43;11/03/2026
REST1058.2-CALÇA C/ CÓS DE ELÁSTICO;19-4118-Dark Denim TC;P;1;145,9;145,9;0;46,3;99,6;11/03/2026
REST1061-BLAZER TRANSPASSADO RECONDUÇÃO REST0890.1;19-1223-Downtown Brown;G;1;279,9;279,9;0;139,95;139,95;11/03/2026
REST1069.2-CALÇA C/ PASSANTE LATERAL;12-0826-Golden Haze TC;M;1;249,9;249,9;0;89,27;160,63;11/03/2026
REST1075-VESTIDO TRANSPASSE FRONTAL E FIVELA FORRADA;18-0930-Coffee Lique?r TC;M;1;189,9;189,9;0;77,29;112,61;11/03/2026
REST1075-VESTIDO TRANSPASSE FRONTAL E FIVELA FORRADA;18-0930-Coffee Lique?r TC;GG;1;189,9;189,9;0;159,22;30,68;11/03/2026
REST1077.1-BLAZER COM BOLSO;13-0922-Straw TC;G;1;269,9;269,9;0;109,85;160,05;11/03/2026
REST1077.2-CALÇA COM FRIZO E BOLSOS;13-0922-Straw TC;G;1;159,9;159,9;0;65,08;94,82;11/03/2026
REST1078-TSHIRT BASICA;19-1118-Chestnut TC;GG;1;60,9;60,9;0;50,39;10,51;11/03/2026
REST1085-CALÇA COM ELASTICO NO CÓS;17-1227-Cafe ?au ?lait TC;M;1;189,9;189,9;0;60,26;129,64;11/03/2026
REST1089-SAIA COM RECORTE ASSIMETRICO;19-4052-Classic Blue TC;M;1;169,9;169,9;0;69,15;100,75;11/03/2026
REST1107.1-BLUSA PEPLUN COM RECORTES;18-1048-Monk?s Robe TC;G;1;139,9;139,9;0;36,71;103,19;11/03/2026
REST1116.1-BLAZER MANGA LONGA COM TRANSPASSE;17-1212-Fungi TC;M;1;219,9;219,9;0;89,5;130,4;11/03/2026
REST1116.2-CALÇA CROPPED BARRA VIRADA;17-1212-Fungi TC;G;1;199,9;199,9;0;81,36;118,54;11/03/2026
REST1122-SAIA BABADOS;19-0000-Raven TC;G;1;151,9;151,9;0;125,7;26,2;11/03/2026
REST1122-SAIA BABADOS;19-0000-Raven TC;GG;1;151,9;151,9;0;125,7;26,2;11/03/2026
REST1122-SAIA BABADOS;19-1317-Bitter Chocolate TC;P;1;151,9;151,9;0;125,7;26,2;11/03/2026
REST1122-SAIA BABADOS;19-1317-Bitter Chocolate TC;M;1;151,9;151,9;0;125,7;26,2;11/03/2026
REST1122-SAIA BABADOS;19-1317-Bitter Chocolate TC;G;1;151,9;151,9;0;125,7;26,2;11/03/2026
REST1135-SAIA LONGA COM ESTAMPA LOCAL;11-0601-Bright White TC;M;1;229,9;229,9;0;130,48;99,42;11/03/2026
REST1144-BLUSA LISTRAS;19-3923-Navy Blazer;P;1;79,9;79,9;0;66,12;13,78;11/03/2026
REST1144-BLUSA LISTRAS;19-3923-Navy Blazer;M;2;79,9;159,8;0;132,23;27,57;11/03/2026
REST1144-BLUSA LISTRAS;19-3923-Navy Blazer;G;1;79,9;79,9;0;66,12;13,78;11/03/2026
REST1145-VESTIDO COM PREGAS;18-0317-Bronze Green TC;M;1;223,9;223,9;0;185,27;38,63;11/03/2026
REST1173-CALÇA FEMININA CINTURA ALTA WILDLEG - CF241;DENIN-DENIN;42;1;127,9;127,9;0;63,95;63,95;11/03/2026
REST1179-CALÇA RETA LAVAGEM Z - CF207;DENIN-DENIN;38;1;119,9;119,9;0;99,22;20,68;11/03/2026
REST1179-CALÇA RETA LAVAGEM Z - CF207;DENIN-DENIN;40;2;119,9;239,8;0;198,43;41,37;11/03/2026
REST1183.1-TOP BALONÊ;14-0114-Celadon Green TC;M;1;139,9;139,9;0;0;139,9;11/03/2026
REST1183.2-CALÇA CÓS ELÁSTICO;14-0114-Celadon Green TC;M;1;189,9;189,9;0;0;189,9;11/03/2026
REST1191.2-SAIA AMPLA COM CÓS DE ELÁSTICO;12-0825-Popcorn TC;P;1;143,9;143,9;0;120,65;23,25;11/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;P;2;175,9;351,8;0;259,86;91,94;11/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;M;2;175,9;351,8;0;259,86;91,94;11/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;G;3;175,9;527,7;0;405,41;122,29;11/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;GG;3;175,9;527,7;0;389,79;137,91;11/03/2026
REST1204-VESTIDO BABADOS;19-0912-Chocolate Brown TC;PP;1;207,9;207,9;0;172,03;35,87;11/03/2026
REST1241.2-CALÇA ALFAIATARIA CREPONADA;19-1419-Chicarry Coffe;G;1;239,9;239,9;0;198,51;41,39;11/03/2026
REST1249.2-CALÇA RETA DE ALFAIATARIA;11-0602-Snow White TC;G;1;199,9;199,9;0;81,36;118,54;11/03/2026
REST1299-REGATA MALHA CANELADA;18-1664-Fiery Red TC;M;1;79,9;79,9;0;0;79,9;11/03/2026
REST1299-REGATA MALHA CANELADA;19-3923-Navy Blazer;M;1;79,9;79,9;0;1,19;78,71;11/03/2026
REST1321-CAMISA LISA TRICOLINE;19-1333-Sequoia TC;G;1;143,2;143,2;0;118,5;24,7;11/03/2026
REST1322-CAMISA LISTRAS;12-0736-Lemon Drop TC;PP;1;127,2;127,2;0;106,65;20,55;11/03/2026
REST1350-BRINCO METAL FOSCO - 1056867 59,9;1-Padrão;Padrão;1;59,9;59,9;0;34;25,9;11/03/2026
REST1441-CALÇA JEANS CROPPED;1-Padrão;44;1;199,9;199,9;0;0;199,9;11/03/2026
REST1499-CALÇA ALADIM;19-1235-Brunette TC;PP;1;189,9;189,9;0;0;189,9;11/03/2026
REST1507-BLUSA DE RENDA MANGA CURTA;19-0000-Raven TC;M;1;79,9;79,9;0;4;75,9;11/03/2026
REST1509.1-REGATA JUSTA PONTA ASSIMETRICA RENDA;19-0000-Raven TC;M;1;79,9;79,9;0;0;79,9;11/03/2026
REST1523.1-BLUSA MANGA CURTA MALHA CANELADA;18-0430-Avocado TC;P;1;99,9;99,9;0;31,7;68,2;11/03/2026
REST1523.2-CALÇA RETA MALHA CANELADA;18-0430-Avocado TC;M;1;129,9;129,9;0;41,22;88,68;11/03/2026
REST1546-CALÇA COM ELÁSTICO NA BARRA;16-0928-Curry TC;M;1;179,9;179,9;0;73,22;106,68;11/03/2026
REST1550.1-CAMISA MANGA CURTA LISA;11-0602-Snow White TC;M;1;159,9;159,9;0;65,08;94,82;11/03/2026
REST1552.1-BLUSA DECOTE DEGAGE COM AMARRAÇÃO;19-1524-Oxblood Red TC;G;1;126,9;126,9;0;51,65;75,25;11/03/2026
REST1552.2-CALÇA RETA CÓS ELÁSTICO E AMARRAÇÃO;19-1524-Oxblood Red TC;G;1;169,9;169,9;0;69,15;100,75;11/03/2026
REST1580-BODY COM GOLA ALTA;19-1420-Deep Mahogany TC;PP;1;79,9;79,9;0;0;79,9;11/03/2026
REST1587.1-BLUSA GOLA DEGAGÊ;19-1535-VINHO (Syrah TCX);PP;1;99,9;99,9;0;60,62;39,28;11/03/2026
REST0235.2-CALÇA PANTALONA COM BARRA LARGA (REST0232);14-1118-Beige TC;P;1;119,9;119,9;0;59,95;59,95;12/03/2026
REST0510.1-REGATA UM OMBRO SÓ;19-3939-Blue Print TC;P;1;145,9;145,9;0;121,46;24,44;12/03/2026
REST0510.1-REGATA UM OMBRO SÓ;19-3939-Blue Print TC;G;1;145,9;145,9;0;121,46;24,44;12/03/2026
REST0510.1-REGATA UM OMBRO SÓ;19-3939-Blue Print TC;GG;1;145,9;145,9;0;121,46;24,44;12/03/2026
REST0831.2-CALÇA RETA;18-1614-Nocturne TC;M;1;119,9;119,9;0;99,82;20,08;12/03/2026
REST0937-VESTIDO COM GOLA;11-0602-Snow White TC;P;1;265,9;265,9;0;160,66;105,24;12/03/2026
REST0962.1-CASACO OVERSIZE;17-1212-Fungi TC;M;1;239,9;239,9;0;96,16;143,74;12/03/2026
REST0978-CAMISA C/ TACHAS;11-0601-Bright White TC;PP;1;189,9;189,9;0;51,96;137,94;12/03/2026
REST0992-CINTO MZD24280;19-0000-Raven TC;Padrão;1;39,9;39,9;0;33,22;6,68;12/03/2026
REST1077.1-BLAZER COM BOLSO;13-0922-Straw TC;M;1;215,9;215,9;0;179,74;36,16;12/03/2026
REST1086-TRENCH COAT;15-1316-Maple Sugar TC;GG;1;231,9;231,9;0;193,06;38,84;12/03/2026
REST1086-TRENCH COAT;19-0000-Raven TC;M;1;231,9;231,9;0;193,06;38,84;12/03/2026
REST1097.1-BLAZER ALFAIATARIA COM BOLSOS;19-0000-Raven TC;P;2;223,9;447,8;0;372,8;75;12/03/2026
REST1097.1-BLAZER ALFAIATARIA COM BOLSOS;19-0000-Raven TC;M;2;223,9;447,8;0;372,8;75;12/03/2026
REST1097.1-BLAZER ALFAIATARIA COM BOLSOS;19-0000-Raven TC;GG;2;223,9;447,8;0;372,8;75;12/03/2026
REST1101-BLUSA TRICOT C/ BORDADOS;15-3919-SERENITY;M;1;199,9;199,9;0;49,99;149,91;12/03/2026
REST1103-VESTIDO GOLA BLAZER;18-3945-Amparo Blue TC;P;1;175,9;175,9;0;146,44;29,46;12/03/2026
REST1111-VESTIDO C/ BABADOS;17-4029-QUIET HARBOR;P;1;207,9;207,9;0;173,08;34,82;12/03/2026
REST1114.1-BLUSA ALONGADA;17-1221-MARROM (Macchiato TCX);PP;2;95,9;191,8;0;159,67;32,13;12/03/2026
REST1114.2-CALÇA RETA C/ CÓS DE ELÁSTICO;17-1221-MARROM (Macchiato TCX);M;2;111,9;223,8;0;186,31;37,49;12/03/2026
REST1114.2-CALÇA RETA C/ CÓS DE ELÁSTICO;17-1221-MARROM (Macchiato TCX);G;1;111,9;111,9;0;93,16;18,74;12/03/2026
REST1129.1-BLUSA VIVOS;18-1130-Aztec TC;P;1;99,9;99,9;0;27,33;72,57;12/03/2026
REST1144-BLUSA LISTRAS;18-1664-Fiery Red TC;P;3;79,9;239,7;0;199,55;40,15;12/03/2026
REST1144-BLUSA LISTRAS;18-1664-Fiery Red TC;M;3;79,9;239,7;0;199,55;40,15;12/03/2026
REST1144-BLUSA LISTRAS;18-1664-Fiery Red TC;G;2;79,9;159,8;0;133,03;26,77;12/03/2026
REST1144-BLUSA LISTRAS;18-1664-Fiery Red TC;GG;1;79,9;79,9;0;66,52;13,38;12/03/2026
REST1144-BLUSA LISTRAS;19-3923-Navy Blazer;P;4;79,9;319,6;0;266,07;53,53;12/03/2026
REST1144-BLUSA LISTRAS;19-3923-Navy Blazer;M;5;79,9;399,5;0;332,59;66,91;12/03/2026
REST1144-BLUSA LISTRAS;19-3923-Navy Blazer;GG;2;79,9;159,8;0;133,03;26,77;12/03/2026
REST1147.1-BLAZER CROPPED RISCA GIZ;11-0610-Silence;P;1;199,9;199,9;0;166,42;33,48;12/03/2026
REST1147.1-BLAZER CROPPED RISCA GIZ;19-0000-Raven TC;M;1;249,9;249,9;0;60,09;189,81;12/03/2026
REST1147.1-BLAZER CROPPED RISCA GIZ;19-0000-Raven TC;M;1;199,9;199,9;0;166,42;33,48;12/03/2026
REST1147.2-SAIA PEPLUN RISCA;11-0610-Silence;P;3;111,9;335,7;0;279,47;56,23;12/03/2026
REST1147.2-SAIA PEPLUN RISCA;11-0610-Silence;M;1;111,9;111,9;0;93,16;18,74;12/03/2026
REST1147.2-SAIA PEPLUN RISCA;11-0610-Silence;G;1;111,9;111,9;0;93,16;18,74;12/03/2026
REST1152-COLETE COM BOLSOS;11-4300-Marshmallow TC;M;1;219,9;219,9;0;88,15;131,75;12/03/2026
REST1165.2-CALÇA COM PREGAS;18-1444-Red Earth TC;P;-1;0;-179,9;0;0;-179,9;12/03/2026
REST1186-CAMISA LINHO MANGA LONGA;14-3710-Orchid Petal TC;M;1;169,9;169,9;0;68,11;101,79;12/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;P;3;175,9;527,7;0;439,31;88,39;12/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;G;3;175,9;527,7;0;439,31;88,39;12/03/2026
REST1199.1-BLAZER ALONGADO LISO;17-1227-Cafe ?au ?lait TC;GG;1;175,9;175,9;0;146,44;29,46;12/03/2026
REST1199.2-CALÇA RETA COM CÓS ELÁSTICO;17-1227-Cafe ?au ?lait TC;P;1;127,9;127,9;0;106,48;21,42;12/03/2026
REST1199.2-CALÇA RETA COM CÓS ELÁSTICO;17-1227-Cafe ?au ?lait TC;M;2;127,9;255,8;0;212,96;42,84;12/03/2026
REST1211.1-CAMISA BÁSICA DE LAISE;16-4018-AZUL (Ashleigh Blue TC);M;-1;0;-249,9;0;0;-249,9;12/03/2026
REST1211.2-CALÇA DE ALFAIATARIA EM LAISE;16-4018-AZUL (Ashleigh Blue TC);P;-1;0;-259,9;0;0;-259,9;12/03/2026
REST1267-LENÇO POLKA DOTS;19-4007-Anthracite TC;U;4;55,9;223,6;0;186,15;37,45;12/03/2026
REST1300.2-CALÇA RETA POÁ;19-0000-Raven TC;G;1;135,9;135,9;0;113,14;22,76;12/03/2026
REST1310-VESTIDO ESTAMPADO POÁ;11-0601-Bright White TC;P;1;207,9;207,9;0;173,08;34,82;12/03/2026
REST1310-VESTIDO ESTAMPADO POÁ;11-0601-Bright White TC;M;1;207,9;207,9;0;173,08;34,82;12/03/2026
REST1327.1-BLUSA LISTRADA COM AMARRAÇÃO;12-1310-Blushing Bride TC;PP;1;135,9;135,9;0;113,14;22,76;12/03/2026
REST1327.1-BLUSA LISTRADA COM AMARRAÇÃO;12-1310-Blushing Bride TC;G;1;135,9;135,9;0;113,14;22,76;12/03/2026
REST1329.2-CALÇA ALADIN DE LISTRAS;15-2215-Begonia Pink TC;M;2;198,9;397,8;0;331,17;66,63;12/03/2026
REST1329.2-CALÇA ALADIN DE LISTRAS;19-3950-Deep Ultramarine TC;PP;1;198,9;198,9;0;165,59;33,31;12/03/2026
REST1441-CALÇA JEANS CROPPED;1-Padrão;34;1;199,9;199,9;0;0;199,9;12/03/2026
REST1441-CALÇA JEANS CROPPED;1-Padrão;38;1;199,9;199,9;0;0;199,9;12/03/2026
REST1495.3-COLETE JUSTO COM VISTA FUNCIONAL;19-0000-Raven TC;G;1;99,9;99,9;0;40,05;59,85;12/03/2026
REST1502.2 -CALÇA ``ALADIM`` COM DETALHE EM AMARRAÇÃO;19-0000-Raven TC;GG;1;159,9;159,9;0;0;159,9;12/03/2026
REST1512.2-CALÇA BÁSICA COM CÓS DE ELÁSTICO;19-0915-Coffee Bean;M;1;139,9;139,9;0;0;139,9;12/03/2026
REST1520-REGATA LISTRA MALHA CANELADA;11-0601-Bright White TC;G;1;69,9;69,9;0;28,02;41,88;12/03/2026
REST1520-REGATA LISTRA MALHA CANELADA;16-1414-Chanterelle TC;G;1;69,9;69,9;0;28,02;41,88;12/03/2026
REST1528.2-CALÇA C/ CÓS DE ELASTICO;18-1015-Shitake TC;G;0;0;0;0;0;0;12/03/2026
REST1539-VESTIDO BICOLOR ALÇAS FINAS;19-0000-Raven TC;G;1;199,9;199,9;0;0;199,9;12/03/2026
REST1541-VESTIDO MIDI CACHECOUER;17-5912-Dark Ivy TC;M;1;169,9;169,9;0;0;169,9;12/03/2026
REST1541-VESTIDO MIDI CACHECOUER;17-5912-Dark Ivy TC;G;1;169,9;169,9;0;68,11;101,79;12/03/2026
REST1560-LENÇO ZEBRA BARRADO 90X90;1-Padrão;Padrão;1;69,9;69,9;0;28,02;41,88;12/03/2026
REST1564.2-CALÇA BÁSICA ALFAIATARIA;18-0937-Bronze Brown TC;G;-1;0;-149,9;0;0;-149,9;12/03/2026
REST1564.2-CALÇA BÁSICA ALFAIATARIA;18-0937-Bronze Brown TC;GG;1;149,9;149,9;0;0;149,9;12/03/2026
REST1567-BLUSA COM PONTA;18-0937-Bronze Brown TC;P;1;159,9;159,9;0;0;159,9;12/03/2026
REST1587.1-BLUSA GOLA DEGAGÊ;19-1535-VINHO (Syrah TCX);P;1;99,9;99,9;0;27,33;72,57;12/03/2026
REST1587.2-CALÇA COM AMARRAÇÃO;19-1535-VINHO (Syrah TCX);P;1;139,9;139,9;0;38,28;101,62;12/03/2026
REST1674-BRACELETE METAL FOSCO 3010053 R$ 69,90;1-Padrão;Padrão;1;69,9;69,9;0;16,81;53,09;12/03/2026
REST1681-BRACELETE METAL 3011242 R$ 69,90;1-Padrão;Padrão;1;69,9;69,9;0;42,23;27,67;12/03/2026
REST1687-KIT BRACELETE 3011283 R$ 99,90;1-Padrão;Padrão;1;99,9;99,9;0;24,02;75,88;12/03/2026
REST1690-KIT BRACELETE METAL 3011298 R$ 99,90;1-Padrão;Padrão;1;99,9;99,9;0;24,02;75,88;12/03/2026
REST0904-BLUSA GOLA LENÇO;14-4107-(CINZA) Quiet Gray TCX;M;1;95,9;95,9;0;39,79;56,11;13/03/2026
REST0989-CINTO MZD24327;17-1224-Camel TC;Padrão;1;39,9;39,9;0;0;39,9;13/03/2026
REST1035.1-JAQUETA BOLSOS;19-0000-Raven TC;M;1;199,9;199,9;0;40,7;159,2;13/03/2026
REST1035.2-COLETE PEPLUN;18-1048-Monk?s Robe TC;G;1;169,9;169,9;0;23,68;146,22;13/03/2026
REST1037.2-CALÇA RETA  RECONDUÇAO REST0806;19-0000-Raven TC;M;1;169,9;169,9;0;23,68;146,22;13/03/2026
REST1080.2-SAIA RETA ESTAMPADA;19-0000-Raven TC;G;1;119,9;119,9;0;49,75;70,15;13/03/2026
REST1133.2-SHORT ALFAIATARIA;19-3951-Clematis Blue TC;GG;1;169,9;169,9;0;23;146,9;13/03/2026
REST1134-TOMARA QUE CAIA COM VISTA;19-3951-Clematis Blue TC;M;1;149,9;149,9;0;20,29;129,61;13/03/2026
REST1159-CORSET ESTRUTURADO;19-0000-Raven TC;M;1;169,9;169,9;0;23;146,9;13/03/2026
REST1171-CALÇA FEMININA CINTURA ALTA BALOOM - CF203;DENIN-DENIN;42;1;149,9;149,9;0;20,29;129,61;13/03/2026
REST1209.1-COLETE COM DETALHE EM RECORTES E AMARRAÇÃO;18-1649-Deep Sea Coral TC;PP;1;169,9;169,9;0;0;169,9;13/03/2026
REST1246-VESTIDO MIDI LAISE;11-0601-Bright White TC;M;1;289,9;289,9;0;39,24;250,66;13/03/2026
REST1253.1-BLUSA UM OMBRO SÓ;18-1664-Fiery Red TC;M;1;109,9;109,9;0;14,88;95,02;13/03/2026
REST1264-VESTIDO OMBRO SÓ COM ESTAMPA;13-1011-Ivory Cream TC;G;1;329,9;329,9;0;44,66;285,24;13/03/2026
REST1268-VESTIDO MIDI COM PREGAS;12-0605-Angora TC;G;1;179,9;179,9;0;0;179,9;13/03/2026
REST1269-VESTIDO CURTO DE PAETE;18-1662-Flame Scarlet TC;G;1;179,9;179,9;0;24,35;155,55;13/03/2026
REST1279-VESTIDO MIDI C/ ALÇAS FINAS;19-0912-Chocolate Brown TC;GG;1;149,9;149,9;0;0;149,9;13/03/2026
REST1292.1-BLUSA DE LAISE;12-0000-White Swan TC;G;1;169,9;169,9;0;70,5;99,4;13/03/2026
REST1299-REGATA MALHA CANELADA;18-1664-Fiery Red TC;G;1;79,9;79,9;0;0;79,9;13/03/2026
REST1307-VESTIDO AMPLO COM FRANZIDOS;19-1223-Downtown Brown;GG;1;169,9;169,9;0;0;169,9;13/03/2026
REST1312-COLAR 59,90;1-Padrão;U;1;59,9;59,9;0;0;59,9;13/03/2026
REST1313-COLAR 79,90;1-Padrão;U;1;79,9;79,9;0;0;79,9;13/03/2026
REST1320-CAMISA LISTRAS;16-3919-Purple Cloud TC;M;1;196;196;0;81,33;114,67;13/03/2026
REST1322-CAMISA LISTRAS;17-4037-Ultramarine TC;M;1;159;159;0;0;159;13/03/2026
REST1334-VESTIDO MIDI REGATA;18-5845-VERDE FLORESTAL;P;1;229,9;229,9;0;0;229,9;13/03/2026
REST1442-CALÇA JEANS BALLOON;1-Padrão;36;1;199,9;199,9;0;0;199,9;13/03/2026
REST1460-COLAR METAL 2032287;1-Padrão;Padrão;2;99,9;199,8;0;20,34;179,46;13/03/2026
REST1498-REGATA COM RENDA;19-0000-Raven TC;M;1;119,9;119,9;0;0;119,9;13/03/2026
REST1502.1-REGATA COM DETALHE EM BABADOS;19-0000-Raven TC;PP;1;119,9;119,9;0;0;119,9;13/03/2026
REST1506-BLUSA DE RENDA MANGA LONGA;16-1210-Light Taupe TC;M;1;99,9;99,9;0;13,92;85,98;13/03/2026
REST1506-BLUSA DE RENDA MANGA LONGA;19-0000-Raven TC;M;1;99,9;99,9;0;13,92;85,98;13/03/2026
REST1523.1-BLUSA MANGA CURTA MALHA CANELADA;16-1414-Chanterelle TC;M;1;99,9;99,9;0;0;99,9;13/03/2026
REST1523.2-CALÇA RETA MALHA CANELADA;16-1414-Chanterelle TC;M;1;129,9;129,9;0;0;129,9;13/03/2026
REST1537-VESTIDO MANGA CURTA C/ FRANZIDOS;19-0000-Raven TC;M;1;199,9;199,9;0;40,7;159,2;13/03/2026
REST1546-CALÇA COM ELÁSTICO NA BARRA;16-0928-Curry TC;M;1;179,9;179,9;0;24,35;155,55;13/03/2026
REST1550.1-CAMISA MANGA CURTA LISA;11-0602-Snow White TC;M;1;159,9;159,9;0;22,28;137,62;13/03/2026
REST1550.1-CAMISA MANGA CURTA LISA;19-1320-Sable TC;P;1;159,9;159,9;0;22,28;137,62;13/03/2026
REST1550.2-CALÇA RETA COM BOLSO FACA;11-0602-Snow White TC;GG;1;198,9;198,9;0;0;198,9;13/03/2026
REST1558-BLUSA ALONGADA ASSIMÉTRICA;11-4300-Marshmallow TC;M;1;119,9;119,9;0;0;119,9;13/03/2026
REST1564.1-TOP TOMARA-QUE-CAIA;18-0937-Bronze Brown TC;M;1;119,9;119,9;0;0;119,9;13/03/2026
REST1564.1-TOP TOMARA-QUE-CAIA;19-2430-Purple Potion TC;M;1;119,9;119,9;0;0;119,9;13/03/2026
REST1564.2-CALÇA BÁSICA ALFAIATARIA;19-2430-Purple Potion TC;P;1;149,9;149,9;0;0;149,9;13/03/2026
REST1570-CALÇA COM PREGAS E BOLSOS CT;19-1432-Chocolate Fondant;M;2;179,9;359,8;0;61,7;298,1;13/03/2026
REST1570-CALÇA COM PREGAS E BOLSOS CT;19-3905-Rabbit TC;M;1;179,9;179,9;0;25,07;154,83;13/03/2026
REST1580-BODY COM GOLA ALTA;19-0000-Raven TC;P;1;79,9;79,9;0;3,99;75,91;13/03/2026
REST1580-BODY COM GOLA ALTA;19-1420-Deep Mahogany TC;P;1;79,9;79,9;0;3,99;75,91;13/03/2026
REST1581-BODY BÁSICO MANGA LONGA;19-0000-Raven TC;PP;1;89,9;89,9;0;4,49;85,41;13/03/2026
REST1581-BODY BÁSICO MANGA LONGA;19-0000-Raven TC;M;1;89,9;89,9;0;42,4;47,5;13/03/2026
REST1581-BODY BÁSICO MANGA LONGA;19-1420-Deep Mahogany TC;P;2;89,9;179,8;0;4,49;175,31;13/03/2026
REST1672-BRACELETE METAL 3009516 R$ 79,90;1-Padrão;Padrão;1;79,9;79,9;0;0;79,9;13/03/2026
REST1675-BRACELETE METAL 3010585 R$ 69,90;1-Padrão;Padrão;1;69,9;69,9;0;14,23;55,67;13/03/2026
REST1676-BRACELETE METAL 3010792 R$ 49,90;1-Padrão;Padrão;1;49,9;49,9;0;10,16;39,74;13/03/2026
