Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1532;VESTIDO MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28212;17;83;06/01/2026;28/01/2026;30/01/2026;Normal;;;
REST1532;VESTIDO MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28212;7;83;06/01/2026;28/01/2026;02/02/2026;Normal;;;
REST1532;VESTIDO MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28212;2;83;06/01/2026;28/01/2026;03/02/2026;Normal;;;
REST1532;VESTIDO MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28212;4;83;06/01/2026;28/01/2026;04/02/2026;Normal;;;
REST1533;REGATA BICOLOR C/ ZIPER LATERAL;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28302;101;70;19/01/2026;16/02/2026;16/02/2026;Normal;;;sem.06
REST1533;REGATA BICOLOR C/ ZIPER LATERAL;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28302;15;70;19/01/2026;16/02/2026;18/02/2026;Normal;;;sem.06
REST1533;REGATA BICOLOR C/ ZIPER LATERAL;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28302;16;70;19/01/2026;16/02/2026;19/02/2026;Normal;;;sem.06
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;33;54;04/02/2026;10/03/2026;12/03/2026;Normal;;;SEM.08
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;44;54;04/02/2026;10/03/2026;13/03/2026;Normal;;;SEM.08
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;14;54;04/02/2026;10/03/2026;16/03/2026;Normal;;;SEM.08
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;1;54;04/02/2026;10/03/2026;17/03/2026;Normal;;;SEM.08
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;5;54;04/02/2026;10/03/2026;18/03/2026;Normal;;;SEM.08
REST1534.1;REGATA COM VISTA FUNCIONAL;RITMI STUDIO;33419 - INTERNO RITMI;28459;1;54;04/02/2026;10/03/2026;19/03/2026;Normal;;;SEM.08
