Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1491;VESTIDO LONGO COM DETALHE NO OMBRO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28082;65;110;10/12/2025;14/01/2026;23/01/2026;Normal;;;sem.04
REST1491;VESTIDO LONGO COM DETALHE NO OMBRO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28082;2;110;10/12/2025;14/01/2026;26/01/2026;Normal;;;sem.04
REST1491;VESTIDO LONGO COM DETALHE NO OMBRO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28082;1;110;10/12/2025;14/01/2026;28/01/2026;Normal;;;sem.04
REST1493;BLUSA BÁSICA ML;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28121;27;104;16/12/2025;22/01/2026;30/01/2026;Normal;;;sem.04
REST1494;VESTIDO DE ALÇA MIDI;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28120;23;104;16/12/2025;29/01/2026;02/02/2026;Normal;;;sem.04
REST1494;VESTIDO DE ALÇA MIDI;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28120;1;104;16/12/2025;29/01/2026;03/02/2026;Normal;;;sem.04
REST1494;VESTIDO DE ALÇA MIDI;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28120;12;104;16/12/2025;29/01/2026;05/02/2026;Normal;;;sem.04
REST1495.1;BLUSA COM DETALHEM EM FRANZIDO LATERAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28074;98;111;09/12/2025;12/01/2026;13/01/2026;Normal;;;sem.04
REST1495.1;BLUSA COM DETALHEM EM FRANZIDO LATERAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28074;1;111;09/12/2025;12/01/2026;21/01/2026;Normal;;;sem.04
REST1495.1;BLUSA COM DETALHEM EM FRANZIDO LATERAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28074;1;111;09/12/2025;12/01/2026;03/02/2026;Normal;;;sem.04
REST1495.1;BLUSA COM DETALHEM EM FRANZIDO LATERAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28074;2;111;09/12/2025;12/01/2026;04/02/2026;Normal;;;sem.04
REST1495.2;CALÇA WIDE COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28118;95;105;15/12/2025;07/01/2026;12/01/2026;Normal;;;sem.04
REST1495.2;CALÇA WIDE COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28118;3;105;15/12/2025;07/01/2026;13/01/2026;Normal;;;sem.04
REST1495.2;CALÇA WIDE COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28118;1;105;15/12/2025;07/01/2026;22/01/2026;Normal;;;sem.04
REST1495.2;CALÇA WIDE COM CÓS DE ELÁSTICO;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28118;3;105;15/12/2025;07/01/2026;04/02/2026;Normal;;;sem.04
REST1495.3;COLETE JUSTO COM VISTA FUNCIONAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28079;40;110;10/12/2025;21/01/2026;21/01/2026;Normal;;;sem.04
REST1495.3;COLETE JUSTO COM VISTA FUNCIONAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28079;54;110;10/12/2025;21/01/2026;22/01/2026;Normal;;;sem.04
REST1495.3;COLETE JUSTO COM VISTA FUNCIONAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28079;3;110;10/12/2025;21/01/2026;23/01/2026;Normal;;;sem.04
REST1495.3;COLETE JUSTO COM VISTA FUNCIONAL;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28079;5;110;10/12/2025;21/01/2026;04/02/2026;Normal;;;sem.04
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;23;119;01/12/2025;19/12/2025;13/01/2026;Normal;;;sem.49
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;11;119;01/12/2025;19/12/2025;14/01/2026;Normal;;;sem.49
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;1;119;01/12/2025;19/12/2025;15/01/2026;Normal;;;sem.49
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;2;119;01/12/2025;19/12/2025;19/01/2026;Normal;;;sem.49
REST1498;REGATA COM RENDA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;27877;3;119;01/12/2025;19/12/2025;21/01/2026;Normal;;;sem.49
